TICKER,DATE,DIRECTION,EARNINGS_D1,ADV_MULT,n_bars,entry,ret_close,mfe_pct,mae_pct,mfe_atr,mae_atr,open_gap_atr,test_atr,reached_d1,beyond_d1_atr,t_mfe,mfe_bucket,win
JHG,2026-02-13,BULLISH,0,3.3212,378,48.59,0.9466968512039431,1.0493928791932385,0.12348219798312876,2.22372437854337,0.2616659398168438,0.1744439598779165,0.2616659398168438,True,2.180113388573906,60,Morning,True
CAR,2026-04-08,BULLISH,0,4.9837,390,248.0,5.264112903225815,9.866814516129027,8.463709677419358,1.6584792230061736,1.4226361128620137,-0.4846044881831063,0.18299749903417908,True,1.0491653280738482,19,Open (0-30m),True
SGMT,2025-06-13,BULLISH,0,4.5302,390,8.45,-2.130177514792897,13.609467455621308,8.875739644970404,2.0924308588064053,1.3646288209606972,-0.29112081513828264,0.45487627365356625,True,1.4919941775836978,226,Mid-day,False
UBS,2025-12-08,BULLISH,0,4.0339,382,40.9,0.24449877750611915,0.7823960880195607,0.25721271393642153,0.5357441821530223,0.17612589988279992,0.435292147999327,0.028461409676872437,True,0.7366482504604013,97,Morning,True
SBAC,2026-04-06,BULLISH,0,6.9739,384,204.445,3.9056959084350362,4.6100418205385365,0.4622270048179184,1.9713449069232403,0.19765739385065745,0.08471031165028262,0.19765739385065745,True,1.8970926584396557,155,Mid-day,True
DBI,2025-12-11,BULLISH,0,6.0053,376,8.35,-2.1556886227544925,1.8742514970060025,6.287425149700593,0.3472376303527872,1.1648546705125349,-0.2662524961171533,0.8875083203905025,False,0.0,6,Open (0-30m),False
SPR,2025-12-04,BULLISH,0,8.1749,386,39.74,-0.8807247106190297,0.0,2.604428787116265,0.0,1.2719675556101804,0.29494899840236205,1.1920855352095354,True,0.2703699152021616,0,Open (0-30m),False
NUTR,2025-09-26,BULLISH,0,7.49,296,6.99,2.002861230329045,5.722460658082968,7.29613733905579,1.1743981209630048,1.4973576042278325,0.2935995302407532,1.4973576042278325,True,1.438637698179681,198,Mid-day,True
QS,2025-06-27,BULLISH,0,9.9315,390,7.55,-12.319205298013236,2.251655629139072,14.806622516556287,0.4634678298800434,3.047709923664121,-0.2726281352235565,1.4721919302071975,True,0.027262813522354924,1,Open (0-30m),False
STEX,2025-09-12,BULLISH,0,3.3683,322,6.1,1.6393442622950838,10.491803278688534,9.016393442622949,1.352493660185969,1.1622992392223157,0.0,1.1622992392223157,True,1.3102282333051565,261,Mid-day,True
AAP,2025-10-31,BEARISH,1,3.5836,390,50.0,5.7399999999999896,9.0,2.0267999999999944,1.8606574322927436,0.4190200537523247,0.2894356005788724,0.4190200537523247,True,2.042588381228033,280,Mid-day,True
EVLV,2025-11-17,BEARISH,1,3.1404,390,5.97,3.5175879396984966,4.857621440536014,0.5025125628140745,0.8196721311475411,0.08479366873940149,0.08479366873940149,0.08479366873940149,True,0.7631430186546084,333,Afternoon,True
LENZ,2025-11-06,BEARISH,1,3.1109,383,22.105,-3.9583804569101932,0.475005654829226,8.016285908165566,0.04453492810790195,0.7515799295923987,-0.26933027950969235,0.7515799295923987,False,0.0,1,Open (0-30m),False
COMP,2025-05-12,BEARISH,1,4.1775,390,6.54,1.1467889908256867,5.1987767584097835,0.07645259938837758,1.048088779284833,0.015413070283600163,-0.8939580764488286,0.015413070283600163,True,0.12330456226880404,57,Morning,True
RBLX,2025-10-31,BEARISH,1,4.5265,390,118.6,4.190556492411468,6.239460370994935,1.0538785834738709,1.2576478585995905,0.21242352141400592,-0.9517335146159065,0.21242352141400592,True,0.11386811692726065,202,Mid-day,True
MBC,2025-05-08,BEARISH,1,4.5689,390,10.27,-0.6815968841285436,0.9737098344693248,2.0447906523855974,0.23912003825920528,0.5021520803443349,-0.4304160688665703,0.3347680535628899,False,0.0,14,Open (0-30m),False
